                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    115,                0.81091,                0.37336,                0.94846,                0.89302,                0.81634,                0.88503,                 0.5046,                 1.4291,                0.64422,                  1.305,               0.002542,               0.002542,               0.002542
                    116,                0.80253,                0.36914,                0.94285,                0.88565,                0.82125,                 0.8835,                 0.5051,                 1.4252,                0.64573,                 1.3048,               0.002476,               0.002476,               0.002476
                    117,                 0.8042,                0.36834,                0.94631,                0.89032,                0.81554,                0.88304,                0.50666,                 1.4276,                0.64712,                 1.3048,                0.00241,                0.00241,                0.00241
                    118,                0.79322,                0.36523,                0.94338,                   0.89,                0.81378,                 0.8828,                0.50578,                 1.4262,                 0.6497,                 1.3073,               0.002344,               0.002344,               0.002344
                    119,                0.79936,                0.36697,                0.94296,                0.88549,                0.82103,                0.88465,                0.50691,                 1.4292,                0.65002,                 1.3107,               0.002278,               0.002278,               0.002278
                    120,                0.79621,                0.36588,                0.94172,                0.88405,                0.82551,                0.88577,                0.50351,                 1.4313,                0.64823,                 1.3137,               0.002212,               0.002212,               0.002212
                    121,                0.79276,                0.36542,                0.94025,                0.88392,                0.82317,                0.88487,                0.50326,                 1.4295,                0.64767,                 1.3121,               0.002146,               0.002146,               0.002146
                    122,                0.78585,                0.36287,                0.93762,                0.89635,                0.80887,                0.88266,                0.50404,                  1.431,                0.65188,                  1.315,                0.00208,                0.00208,                0.00208
                    123,                0.78366,                 0.3621,                0.93484,                0.88697,                 0.8157,                  0.882,                0.50275,                 1.4341,                0.65481,                 1.3198,               0.002014,               0.002014,               0.002014
                    124,                0.77805,                0.35755,                0.93419,                0.88426,                0.81974,                0.88339,                0.50326,                 1.4335,                0.64863,                 1.3199,               0.001948,               0.001948,               0.001948
                    125,                0.77809,                 0.3575,                0.93632,                0.88622,                0.82295,                0.88444,                0.50271,                 1.4332,                0.64838,                 1.3181,               0.001882,               0.001882,               0.001882
                    126,                0.77586,                0.35748,                0.93419,                0.88713,                0.82154,                0.88513,                 0.5036,                 1.4313,                0.64954,                 1.3154,               0.001816,               0.001816,               0.001816
                    127,                0.76871,                0.35028,                0.92989,                0.89101,                0.81655,                0.88343,                0.50312,                 1.4304,                0.64869,                 1.3138,                0.00175,                0.00175,                0.00175
                    128,                0.75733,                0.34812,                0.92847,                0.89873,                0.81101,                0.88309,                0.50275,                 1.4309,                0.65141,                 1.3164,               0.001684,               0.001684,               0.001684
                    129,                0.75961,                0.34933,                0.92804,                0.89676,                0.80951,                0.88285,                0.50379,                 1.4299,                0.65143,                 1.3182,               0.001618,               0.001618,               0.001618
                    130,                0.75594,                0.34634,                 0.9276,                0.89479,                0.81101,                0.88341,                0.50425,                 1.4283,                 0.6546,                 1.3178,               0.001552,               0.001552,               0.001552
                    131,                0.75715,                0.34804,                0.92856,                 0.8917,                0.81494,                0.88372,                 0.5026,                 1.4336,                0.65333,                 1.3234,               0.001486,               0.001486,               0.001486
                    132,                 0.7518,                0.34682,                0.92509,                0.88595,                0.82184,                0.88459,                0.50273,                 1.4342,                0.65287,                 1.3238,                0.00142,                0.00142,                0.00142
                    133,                 0.7536,                0.34758,                0.92693,                0.88459,                0.82566,                0.88519,                0.50396,                 1.4331,                0.65194,                 1.3251,               0.001354,               0.001354,               0.001354
                    134,                0.74701,                0.34285,                0.92389,                0.88504,                0.82766,                0.88589,                 0.5051,                 1.4321,                0.65184,                 1.3242,               0.001288,               0.001288,               0.001288
                    135,                0.73559,                0.33867,                0.91788,                0.88415,                0.82637,                0.88504,                0.50608,                 1.4345,                0.65654,                 1.3269,               0.001222,               0.001222,               0.001222
                    136,                0.73488,                0.33807,                0.91902,                0.88659,                0.82189,                0.88576,                0.50531,                 1.4352,                0.65673,                 1.3275,               0.001156,               0.001156,               0.001156
                    137,                0.73284,                 0.3399,                0.91805,                0.88433,                0.82402,                0.88597,                0.50459,                 1.4362,                0.65729,                 1.3295,                0.00109,                0.00109,                0.00109
                    138,                0.73287,                 0.3387,                0.91532,                0.88394,                0.82207,                0.88477,                0.50492,                 1.4365,                0.66001,                 1.3309,               0.001024,               0.001024,               0.001024
